StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3_8,Q3_1,Q3_2,Q3_3,Q3_12,Q3_11,Q3_10,Q4_1,Q4_2,Q5_1,Q5_2,Q5_3,Q5_4,Q6
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Participant ID,Task ID,"On a scale of 1-7, how easy do you think that task was? - Task difficulty",NASA-TLX - How mentally demanding was the task?,NASA-TLX - How physically demanding was the task?,NASA-TLX - How hurried or rushed was the pace of the task?,NASA-TLX - How successful were you in accomplishing what you were asked to do?,NASA-TLX - How hard did you have to work to accomplish your level of performance?,"NASA-TLX - How insecure, discouraged, irritated, stressed and annoyed were you?",Virtual embodiment - Ownership - It felt like the robot arm was a part of my body,Virtual embodiment - Ownership - The robot arm felt like a human arm,Virtual embodiment - Agency - The movements of the robot arm felt like they were my movements,Virtual embodiment - Agency - I felt like I was controlling the movements of the robot arm,Virtual embodiment - Agency - I felt like I was causing the movements of the robot arm,Virtual embodiment - Agency - The movements of the robot arm were in sync with my own movements,Comments
"{""ImportId"":""startDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""endDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID22_8""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_12""}","{""ImportId"":""QID1_11""}","{""ImportId"":""QID1_10""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID18_4""}","{""ImportId"":""QID20_TEXT""}"
26/03/2024 10:34,26/03/2024 10:51,0,128.250.0.54,100,1010,1,26/03/2024 10:51,R_4SuYdNNZZR0nPId,,,,,-37.8159,144.9669,qr,EN,1,A,1,15,18,17,3,16,18,1,2,1,1,2,2,
26/03/2024 10:51,26/03/2024 10:57,0,128.250.0.54,100,314,1,26/03/2024 10:57,R_4n3kxYLWIOhZVLK,,,,,-37.8159,144.9669,qr,EN,1,B,4,9,11,9,11,10,10,5,5,4,5,6,6,
26/03/2024 10:58,26/03/2024 11:05,0,128.250.0.54,100,447,1,26/03/2024 11:05,R_4xPZzN354Tq2psB,,,,,-37.8159,144.9669,qr,EN,1,D,6,7,9,7,14,7,7,6,5,6,6,5,6,
26/03/2024 11:06,26/03/2024 11:12,0,128.250.0.54,100,352,1,26/03/2024 11:12,R_4CO6OzI01T0H9bb,,,,,-37.8159,144.9669,qr,EN,1,C,6,5,5,4,19,5,4,6,7,6,7,6,7,
26/03/2024 15:11,26/03/2024 15:39,0,128.250.0.54,100,1640,1,26/03/2024 15:39,R_4DADzVGdBiENBHb,,,,,-37.8159,144.9669,qr,EN,3,C,4,10,14,10,16,9,1,5,3,6,6,6,5,
26/03/2024 15:43,26/03/2024 16:00,0,128.250.0.54,100,1033,1,26/03/2024 16:00,R_4SH559I9nwWcfsa,,,,,-37.8159,144.9669,qr,EN,3,D,5,12,9,11,18,8,1,5,5,6,6,6,5,
26/03/2024 16:01,26/03/2024 16:07,0,128.250.0.54,100,377,1,26/03/2024 16:07,R_4inhzOJf5uHfapj,,,,,-37.8159,144.9669,qr,EN,3,B,6,5,12,9,20,7,1,6,5,6,6,6,6,
26/03/2024 16:07,26/03/2024 16:13,0,128.250.0.54,100,343,1,26/03/2024 16:13,R_4rYZwTxQ56kIj0A,,,,,-37.8159,144.9669,qr,EN,3,A,6,5,7,9,20,8,1,6,5,6,6,6,6,
26/03/2024 16:37,26/03/2024 17:03,0,128.250.0.54,100,1521,1,26/03/2024 17:03,R_4Mmng8luWOyOtxX,,,,,-37.8159,144.9669,qr,EN,4,D,1,16,16,11,14,11,18,2,2,5,3,3,3,
26/03/2024 17:03,26/03/2024 17:13,0,128.250.0.54,100,594,1,26/03/2024 17:13,R_42KdVXZQJotl2Dw,,,,,-37.8159,144.9669,qr,EN,4,A,2,11,13,3,8,11,14,2,2,3,5,4,6,
26/03/2024 17:16,26/03/2024 17:25,0,128.250.0.54,100,560,1,26/03/2024 17:25,R_4dZg77Y8EJ8fBby,,,,,-37.8159,144.9669,qr,EN,4,C,6,9,14,6,16,5,7,6,6,6,5,6,6,
26/03/2024 17:27,26/03/2024 17:34,0,128.250.0.54,100,418,1,26/03/2024 17:34,R_4WYUNlKG8hw7ANl,,,,,-37.8159,144.9669,qr,EN,4,B,7,7,10,4,16,9,4,6,6,6,6,6,6,
27/03/2024 12:12,27/03/2024 12:31,0,128.250.0.54,100,1145,1,27/03/2024 12:31,R_4EmycmxMjKEBT5b,,,,,-37.8159,144.9669,qr,EN,6,A,4,12,14,5,18,12,1,3,3,5,5,6,5,
27/03/2024 12:40,27/03/2024 12:41,0,128.250.0.54,100,82,1,27/03/2024 12:41,R_4C13oWBJIwoo0OB,,,,,-37.8159,144.9669,qr,EN,6,C,4,9,12,3,18,12,1,4,3,4,5,6,4,
27/03/2024 12:53,27/03/2024 12:54,0,128.250.0.54,100,63,1,27/03/2024 12:54,R_4TeZ2FpYooAACIx,,,,,-37.8159,144.9669,qr,EN,6,B,4,8,12,1,18,9,1,4,4,5,5,5,5,
27/03/2024 13:00,27/03/2024 13:01,0,128.250.0.54,100,72,1,27/03/2024 13:01,R_4jvTAkrSYLFoRSx,,,,,-37.8159,144.9669,qr,EN,6,D,4,7,8,1,18,9,1,4,4,5,6,6,5,
27/03/2024 15:32,27/03/2024 15:34,0,128.250.0.54,100,130,1,27/03/2024 15:34,R_4rPdmc0PK80vtHI,,,,,-37.8159,144.9669,qr,EN,8,A,4,11,12,15,6,13,15,5,5,4,4,4,2,
27/03/2024 15:42,27/03/2024 15:43,0,128.250.0.54,100,99,1,27/03/2024 15:43,R_4TZAAWGdomVOJTi,,,,,-37.8159,144.9669,qr,EN,8,D,3,11,11,11,9,11,10,3,3,4,5,4,4,
27/03/2024 15:48,27/03/2024 15:49,0,128.250.0.54,100,86,1,27/03/2024 15:49,R_4LkuXxyPwRGwojR,,,,,-37.8159,144.9669,qr,EN,8,B,5,10,10,9,12,12,8,5,5,5,5,5,5,
